Switch ID,Interface,Total Input Errors,Total Runt Frames,Total RX Pause Frames,Total FCS Errors,Total Alignment Errors,Total Giant Frames,Total Symbol Errors,Total Deferred Transmissions,Total TX Pause Frames,Total Collisions,Total Late Collisions
leaf1,Ethernet49/1,568178,568178,0,0,0,0,0,0,0,0,0
leaf1,Ethernet50/1,567893,567893,0,0,0,0,0,0,0,0,0
